"Page URL","Referring pages",Title,"Title length","Duplicate title"
https://top-5-pct.replit.app/service-areas,130,"Service Areas | Custom Signage & Apparel | Joliet IL | Top 5 Percent",68,No
https://top-5-pct.replit.app/custom-apparel,130,"Custom Apparel Joliet IL | T-Shirts, Hoodies, Embroidery, DTF, Screen Printing | Top 5 Percent",94,No
https://top-5-pct.replit.app/custom-apparel/printing-options/dtf-printing,130,"Custom DTF Transfers Joliet IL | Direct-to-Film Shirt Transfers | Top 5 Percent",79,No
https://top-5-pct.replit.app/custom-apparel/printing-options/dye-sublimation-printing,130,"Dye Sublimation Shirts Joliet IL | All Over Print Custom Apparel | Top 5 Percent",80,No
https://top-5-pct.replit.app/custom-apparel/screen-printing,130,"Screen Printing Joliet IL | Custom Screen Printed Shirts & Apparel | Top 5 Percent",82,No
https://top-5-pct.replit.app/custom-apparel/embroidery,130,"Custom Embroidery Shirts Joliet IL | Embroidered T-Shirts & Polos | Top 5 Percent",81,No
https://top-5-pct.replit.app/custom-apparel/rhinestone-apparel,130,"Custom Rhinestone Shirts Joliet IL | Bling T-Shirts | Top 5 Percent",67,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/glitter-shirts,130,"Custom Glitter Shirts Joliet IL | Glitter Heat Transfer T-Shirts | Top 5 Percent",80,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/puff-shirts,130,"Puff Print Shirts Joliet IL | 3D Raised Puff Custom Apparel | Top 5 Percent",75,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/glow-in-the-dark-shirts,130,"Glow In The Dark Shirts Joliet IL | Custom Glow T-Shirts | Top 5 Percent",72,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/flock-shirts,130,"Custom Flock Shirts Joliet IL | Velvet Flock T-Shirts | Top 5 Percent",69,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/brick-shirts,130,"Custom Brick Shirts Joliet IL | 3D Textured T-Shirts | Top 5 Percent",68,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/holographic-shirts,130,"Custom Holographic Shirts Joliet IL | Prismatic T-Shirts | Top 5 Percent",72,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/foil-shirts,130,"Custom Foil Shirts Joliet IL | Metallic Foil T-Shirts | Top 5 Percent",69,No
https://top-5-pct.replit.app/custom-apparel/specialty-materials/reflective-shirts,130,"Custom Reflective Shirts Joliet IL | High-Visibility T-Shirts | Top 5 Percent",77,No
https://top-5-pct.replit.app/signs,130,"Custom Signs & Banners Joliet IL | Yard Signs, Posters, Business Signs, Window Signs | Top 5 Percent",100,No
https://top-5-pct.replit.app/signs/business-signs/banners,130,"Custom Banners Joliet IL | Vinyl Banners, Birthday Banners, Team Banners | Top 5 Percent",88,No
https://top-5-pct.replit.app/signs/business-signs/window-signs,130,"Custom Window Signs Joliet IL | Window Decals & Window Graphics | Top 5 Percent",79,No
https://top-5-pct.replit.app/signs/business-signs/wall-signs,130,"Custom Wall Signs Joliet IL | Wall Decals & Wall Graphics | Top 5 Percent",73,No
https://top-5-pct.replit.app/signs/business-signs/door-signs,130,"Custom Door Signs Joliet IL | Business Door Graphics & Door Decals | Top 5 Percent",82,No
https://top-5-pct.replit.app/signs/business-signs/floor-signs,130,"Custom Floor Signs Joliet IL | Floor Decals & Floor Graphics | Top 5 Percent",76,No
https://top-5-pct.replit.app/signs/ground-signs/yard-signs,130,"Yard Signs Joliet IL | Lawn Signs, Real Estate Signs, Political Signs | Top 5 Percent",85,No
https://top-5-pct.replit.app/signs/business-signs/posters,130,"Poster Printing Joliet IL | Large Format Posters, Backdrops, Poster Boards | Top 5 Percent",90,No
https://top-5-pct.replit.app/top5pct-merchandise,130,"Top 5% Merchandise | Premium Branded Apparel & Accessories | Top 5 Percent",74,No
https://top-5-pct.replit.app/signs/ground-signs/sidewalk-signs,130,"Sidewalk Signs Joliet IL | A Frame Signs, Sandwich Boards | Top 5 Percent",73,No
https://top-5-pct.replit.app/signs/ground-signs/parking-signs,130,"Custom Parking Signs Joliet IL | Business Parking & Lot Signs | Top 5 Percent",77,No
https://top-5-pct.replit.app/signs/table-signs/table-cloths,130,"Custom Table Cloths Joliet IL | Branded Table Covers for Events | Top 5 Percent",79,No
https://top-5-pct.replit.app/signs/table-signs/table-runners,130,"Table Runners Joliet IL | Custom Table Cloths, Table Skirts | Top 5 Percent",75,No
https://top-5-pct.replit.app/stickers,130,"Custom Stickers Joliet IL | Standard Stickers, Die Cut Custom Shapes, Weatherproof Vinyl | Top 5 Percent",104,No
https://top-5-pct.replit.app/stickers/standard-stickers-decals,130,"Custom Stickers & Decals Joliet IL | Die Cut Stickers, Labels, Business Decals | Top 5 Percent",94,No
https://top-5-pct.replit.app/stickers/custom-shaped-stickers-decals,130,"Custom Shaped Stickers Joliet IL | Die Cut Stickers Any Shape | Top 5 Percent",77,No
https://top-5-pct.replit.app/vehicle-graphics,130,"Vehicle Graphics & Wraps Joliet IL | Car Wraps, Truck Lettering, Vehicle Magnets, DOT Decals | Top 5 Percent",108,No
https://top-5-pct.replit.app/vehicle-graphics/automobile-graphics,130,"Automobile Graphics Joliet IL | Car Wraps, Vinyl Lettering, Van Graphics, Truck Decals, Boat Graphics | Top 5 Percent",117,No
https://top-5-pct.replit.app/vehicle-graphics/vehicle-magnets,130,"Vehicle Magnets Joliet IL | Car Door Magnets, Truck Magnetic Signs, Removable Business Magnets | Top 5 Percent",110,No
https://top-5-pct.replit.app/vehicle-graphics/dot-decals,130,"DOT Decals & USDOT Number Stickers Joliet IL | Truck Lettering, MC Numbers, FMCSA Compliance | Top 5 Percent",108,No
https://top-5-pct.replit.app/promotional-items,130,"Custom Promotional Items Joliet IL | Mugs, Koozies, Tote Bags, Towels, Mouse Pads | Top 5 Percent",97,No
https://top-5-pct.replit.app/promotional-items/mugs,130,"Custom Mugs Joliet IL | Branded Coffee Mugs & Drinkware | Top 5 Percent",71,No
https://top-5-pct.replit.app/promotional-items/can-koozies,130,"Custom Can Koozies Joliet IL | Branded Drink Koozies | Top 5 Percent",68,No
https://top-5-pct.replit.app/promotional-items/towels,130,"Custom Towels Joliet IL | Branded Beach & Sport Towels | Top 5 Percent",70,No
https://top-5-pct.replit.app/promotional-items/drink-coasters,130,"Custom Drink Coasters Joliet IL | Branded Coasters for Businesses | Top 5 Percent",81,No
https://top-5-pct.replit.app/promotional-items/tote-bags,130,"Custom Tote Bags Joliet IL | Branded Drawstring & Tote Bags | Top 5 Percent",75,No
https://top-5-pct.replit.app/promotional-items/mouse-pads,130,"Custom Mouse Pads Joliet IL | Branded Desk Accessories | Top 5 Percent",70,No
https://top-5-pct.replit.app/design-services,130,"Design Services Joliet IL | Logo Design, Graphic Design, Online Designer, Design Catalogs | Top 5 Percent",105,No
https://top-5-pct.replit.app/design-services/graphic-design,130,"Graphic Design Joliet IL | Layout & Print Design Services | Top 5 Percent",73,No
https://top-5-pct.replit.app/design-services/logo-design,130,"Logo Design Joliet IL | Professional Logo Design Services | Top 5 Percent",73,No
https://top-5-pct.replit.app/custom-apparel/custom-shirts,1,"Custom T-Shirts Joliet IL | Rhinestone, Vinyl, Foil & More | Top 5 Percent",74,No
https://top-5-pct.replit.app/design-services/online-designer,2,"Free Online Designer Joliet IL | Design Custom Shirts & Signs Online | Top 5 Percent",84,No
https://top-5-pct.replit.app/design-services/design-catalogs,1,"Design Idea Catalogs Joliet IL | Custom Print Design Inspiration | Top 5 Percent",80,No
